name,close_approach_date,close_approach_time,velocity_km_s,distance_km,diameter_min_m,diameter_max_m
(2021 EW3),2025-01-26,13:16,6.488044036,58225468.104409707,12.7807098818,28.5785360964
(2022 AV13),2025-01-26,09:59,15.5091491565,41565809.423632759,1.1496217629,2.5706324102
(2022 PY1),2025-01-26,00:32,11.9568406271,34877650.862295603,75.9547566429,169.839999068
(2023 BG),2025-01-26,16:34,17.379623454,33375966.305056572,58.4191154186,130.6291132614
(2024 PV5),2025-01-26,20:08,12.7946936196,34987952.423643151,40.7901194028,91.209479795
(2024 YY5),2025-01-26,10:25,2.4347075978,4781448.796436144,10.5768166675,23.6504810541
(2002 BM5),2025-01-25,11:27,12.3499082823,44000505.004101635,83.6671501888,187.0854353059
(2008 JG),2025-01-25,09:56,21.9717281134,62420482.030605601,180.5323255496,403.6825520651
(2012 HG2),2025-01-25,19:25,6.659504546,15702473.015749778,10.5816885933,23.6613750114
(2017 QC36),2025-01-25,10:22,18.5116471622,63297391.653496757,192.5550781879,430.566244241
(2018 AM13),2025-01-25,13:59,10.6407705396,72726084.114564612,99.6678239968,222.8640296264
(2019 BA1),2025-01-25,10:36,19.2359979664,38217464.898253463,96.9515990928,216.7903660989
(2021 UO1),2025-01-25,13:49,22.9922200734,28506625.618440158,6.5849878292,14.7244804171
(2021 WJ3),2025-01-25,15:36,7.4943109904,26058093.476658603,15.9424468069,35.6483947878
(2022 BV1),2025-01-25,08:16,13.9752890824,52099330.714119216,39.1340663147,87.5064325156
613986 (2008 JG),2025-01-25,09:56,21.9717256327,62420475.208942729,183.0437803683,409.2983357621
(2023 UY),2025-01-25,20:36,5.4968913209,19465557.036077375,2.7074159094,6.0539660169
(2024 YT2),2025-01-25,01:04,9.0503341756,19876003.879985174,83.7056892086,187.171611174
(2025 AL),2025-01-25,11:24,10.0359164945,12022164.354212498,34.5266924761,77.2040314148
(2025 BK),2025-01-25,15:54,10.4409165953,5901423.258288647,39.7150374679,88.8055235071
(2025 BW),2025-01-25,20:51,6.1288379388,4035851.755734036,7.5189115612,16.8127973677
(2013 CW32),2025-01-31,14:26,19.2240917222,18905650.520681882,101.9893858518,228.0551997482
(2015 DJ155),2025-01-31,06:58,9.230417019,7112696.223097486,41.5484643414,92.9051906281
(2018 LM4),2025-01-31,04:12,18.2459644391,16203072.068935038,479.2421155205,1071.6179479846
(2018 SO2),2025-01-31,08:51,14.8103566636,62011409.168334817,17.561231848,39.2681081809
(2020 BG5),2025-01-31,02:22,6.5531346755,49386912.387674187,48.3676488219,108.1533506775
(2021 CW7),2025-01-31,08:15,14.3333193976,33481792.79572094,1.5154966357,3.3887534971
(2021 SG1),2025-01-31,10:27,16.8593797574,50464204.752121676,20.5378499518,45.924028604
(2022 CV1),2025-01-31,14:48,12.0185901847,36947225.464619269,21.2106987876,47.4285643393
(2023 DF),2025-01-31,14:40,16.0767535281,38705662.048659131,10.3408199539,23.1227763601
(2023 FG14),2025-01-31,15:04,14.4132871627,24989814.20436117,110.8038821264,247.7650126055
(2024 CZ),2025-01-31,13:02,6.080491547,8552362.829118689,12.6635356293,28.3165265026
(2025 AN3),2025-01-31,14:10,7.8107375674,21510794.967150719,59.5326173348,133.1189792392
(2025 BR2),2025-01-31,13:43,13.7489571337,5165057.019516806,13.8214935879,30.905799213
(2006 BC8),2025-01-30,05:04,17.4920200063,21833713.772817662,25.3837029364,56.7596852866
(2006 OT9),2025-01-30,04:17,8.8196128772,9365763.877695763,263.3631309525,588.897863577
(2015 YA),2025-01-30,09:58,7.1850330139,38150710.409195269,8.801465209,19.6806745089
(2016 CH30),2025-01-30,16:55,4.0354760237,8107185.657867217,6.676594135,14.9293183439
(2024 QH),2025-01-30,13:51,13.722662634,57219160.063915301,27.1991277348,60.8190985438
(2025 BJ2),2025-01-30,00:26,15.5819677949,5839002.828961371,27.9611466062,62.5230245403
