,Date,Eclipse Time,Eclipse Type,Latitude,Longitude
9836,2083 February 2,18:26:46,T,17N,88E
9837,2083 July 29,01:05:34,T-,19S,14W
9838,2084 January 22,23:13:00,T,19N,15E
9839,2084 July 17,16:58:51,P,20S,107E
9840,2085 January 10,22:32:29,N,21N,24E
9841,2085 June 8,02:17:36,N,24S,34W
9842,2085 July 7,10:04:40,N,21S,149W
9843,2085 December 1,08:25:35,N,23N,128W
9844,2086 May 28,12:43:47,P,22S,169E
9845,2086 November 20,20:19:42,P,20N,52E
9846,2087 May 17,15:55:20,T+,19S,121E
9847,2087 November 10,12:05:33,T-,17N,175E
9848,2088 May 5,16:16:50,P,16S,116E
9849,2088 October 30,03:03:20,P,13N,49W
9850,2089 March 26,09:34:14,N,4S,142W
9851,2089 September 19,22:11:17,N,0N,26E
9852,2090 March 15,23:48:31,T,1N,6E
9853,2090 September 8,22:52:29,T,5S,17E
9854,2091 March 5,15:58:22,T,6N,124E
9855,2091 August 29,00:38:25,T,10S,8W
9856,2092 February 23,05:20:59,N,11N,76W
9857,2092 July 19,00:41:58,Ne,19S,8W
9858,2092 August 17,09:13:59,N,14S,136W
9859,2093 January 12,18:00:03,N,20N,93E
9860,2093 July 8,17:24:18,P,22S,101E
9861,2094 January 1,17:00:06,P,22N,107E
9862,2094 June 28,10:01:57,T+,23S,149W
9863,2094 December 21,19:56:32,T+,24N,61E
9864,2095 June 17,22:00:11,P,24S,31E
9865,2095 December 11,06:15:02,P,24N,95W
9866,2096 May 7,11:24:42,N,16S,171W
9867,2096 June 6,02:43:41,Nb,24S,41W
9868,2096 October 31,11:30:23,N,13N,175W
9869,2096 November 29,21:22:22,N,23N,37E
9870,2097 April 26,12:18:17,P,13S,176E
9871,2097 October 21,01:30:55,T,11N,26W
9872,2098 April 15,19:04:48,T-,10S,74E
9873,2098 October 10,09:19:58,T,7N,143W
9874,2099 April 5,08:30:56,P,7S,127W
9875,2099 September 29,10:36:38,Nx,3N,161W
9876,2100 February 24,15:05:11,N,10N,138E
9877,2100 August 19,21:44:58,N,13S,36E
9878,2101 February 14,02:50:00,T,13N,38W
9879,2101 August 9,08:25:33,T,16S,124W
9880,2102 February 3,07:18:21,T,16N,105W
9881,2102 July 30,00:29:10,T,18S,5W
9882,2103 January 23,06:34:00,Nx,19N,95W
9883,2103 June 20,09:36:11,N,25S,143W
9884,2103 July 19,17:28:43,N,20S,100E
9885,2103 December 13,16:51:37,N,24N,106E
9886,2104 June 8,19:38:40,P,23S,66E
9887,2104 December 2,04:58:11,P,22N,76W
9888,2105 May 28,22:34:06,T+,21S,22E
9889,2105 November 21,20:42:00,T-,20N,47E
9890,2106 May 17,23:06:43,P,19S,13E
9891,2106 November 11,11:22:14,P,16N,174W
9892,2107 April 7,17:30:11,N,8S,99E
9893,2107 May 7,04:30:24,Nb,15S,67W
9894,2107 October 2,05:23:19,N,4N,83W
9895,2108 March 27,08:06:28,T,3S,119W
9896,2108 September 20,05:47:11,P,1S,88W
9897,2109 March 17,00:22:28,T,2N,2W
9898,2109 September 9,07:43:03,T-,6S,115W
9899,2110 March 6,13:37:20,N,7N,160E
9900,2110 August 29,16:38:48,P,10S,112E
9901,2111 January 25,02:03:07,N,18N,27W
9902,2111 July 21,00:53:17,P,20S,11W
9903,2112 January 14,01:06:36,P,21N,14W
9904,2112 July 9,17:19:51,T+,22S,102E
9905,2113 January 2,04:22:59,T+,23N,64W
9906,2113 June 29,04:55:26,P,24S,72W
9907,2113 December 22,14:58:42,P,24N,136E
9908,2114 May 19,18:07:33,N,19S,89E
9909,2114 June 18,09:17:07,N,25S,138W
9910,2114 November 12,19:59:33,N,17N,58E
9911,2114 December 12,06:09:26,N,25N,93W
9912,2115 May 8,19:21:24,P,17S,70E
9913,2115 November 2,09:36:34,P,14N,147W
9914,2116 April 27,02:41:18,T-,14S,40W
9915,2116 October 21,16:53:39,T+,11N,104E
9916,2117 April 16,16:32:00,P,11S,113E
9917,2117 October 10,17:47:12,P,8N,91E
9918,2118 March 7,23:33:04,N,6N,11E
9919,2118 August 31,04:51:45,N,10S,71W
9920,2119 February 25,11:05:13,T,10N,162W
9921,2119 August 20,15:51:55,T,13S,124E
9922,2120 February 14,15:17:20,T,13N,135E
9923,2120 August 9,08:01:32,T,15S,118W
9924,2121 February 2,14:32:40,Nx,16N,146E
9925,2121 June 30,16:49:52,N,25S,110E
9926,2121 July 30,00:52:44,N,17S,11W
9927,2121 December 24,01:22:13,N,25N,20W
9928,2122 June 20,02:27:47,P,24S,35W
9929,2122 December 13,13:42:41,P,24N,154E
9930,2123 June 9,05:06:28,T+,23S,76W
9931,2123 December 3,05:24:09,T-,22N,83W
9932,2124 May 28,05:50:59,P,21S,87W
9933,2124 November 21,19:47:21,P,19N,61E
9934,2125 April 18,01:18:48,N,12S,19W
9935,2125 May 17,11:46:31,N,18S,176W
9936,2125 October 12,12:43:06,N,9N,167E
9937,2126 April 7,16:17:55,T,7S,117E
9938,2126 October 1,12:49:48,P,4N,166E
9939,2127 March 28,08:40:17,T+,3S,128W
9940,2127 September 20,14:56:04,T-,1S,136E
9941,2128 March 16,21:46:08,Nx,2N,37E
9942,2128 September 9,00:10:30,P,6S,2W
9943,2129 February 4,10:02:24,N,15N,146W
9944,2129 July 31,08:24:31,P,17S,123W
9945,2130 January 24,09:10:19,P,19N,134W
9946,2130 July 21,00:38:56,T+,20S,7W
9947,2131 January 13,12:49:59,T+,22N,171E
9948,2131 July 10,11:47:56,P,23S,174W
9949,2132 January 2,23:44:22,P,24N,6E
9950,2132 May 30,00:42:50,N,21S,10W
9951,2132 June 28,15:45:35,N,24S,126E
9952,2132 November 23,04:35:10,N,19N,71W
9953,2132 December 22,14:59:51,N,25N,136E
9954,2133 May 19,02:16:19,P,19S,34W
9955,2133 November 12,17:50:08,P,17N,90E
9956,2134 May 8,10:10:41,T-,17S,152W
9957,2134 November 2,00:34:20,T+,15N,12W
9958,2135 April 28,00:26:35,P,15S,6W
9959,2135 October 22,01:06:05,P,12N,20W
9960,2136 March 18,07:53:55,N,2N,115W
9961,2136 April 16,17:08:45,Nb,12S,103E
9962,2136 September 10,12:05:06,N,6S,180E
9963,2137 March 7,19:13:43,T,5N,76E
9964,2137 August 30,23:24:05,T,9S,11E
9965,2138 February 24,23:09:56,T,9N,17E
9966,2138 August 20,15:38:46,T,12S,127E
9967,2139 February 13,22:28:17,Nx,12N,27E
9968,2139 July 12,00:01:45,Ne,23S,3E
9969,2139 August 10,08:18:10,N,15S,122W
9970,2140 January 4,09:55:16,N,24N,146W
9971,2140 June 30,09:13:17,P,24S,136W
9972,2140 December 23,22:29:48,P,24N,24E
9973,2141 June 19,11:34:51,T-,23S,172W
9974,2141 December 13,14:10:16,T-,23N,147E
9975,2142 June 8,12:32:42,P,22S,173E
9976,2142 December 3,04:16:11,P,21N,65W
9977,2143 April 29,09:01:22,N,16S,135W
9978,2143 May 28,18:59:24,N,20S,76E
9979,2143 October 23,20:10:38,N,13N,54E
9980,2144 April 18,00:20:29,T,11S,4W
9981,2144 October 11,20:02:14,P,8N,57E
9982,2145 April 7,16:48:09,T+,7S,110E
9983,2145 September 30,22:19:51,T-,3N,24E
9984,2146 March 28,05:44:28,P,2S,83W
9985,2146 September 20,07:51:28,P,2S,118W
9986,2147 February 15,17:57:14,N,12N,95E
9987,2147 August 11,15:57:02,P,14S,123E
9988,2147 September 9,23:11:33,Nb,7S,13E
9989,2148 February 4,17:13:45,P,16N,106E
9990,2148 July 31,07:56:37,T+,18S,116W
9991,2149 January 23,21:17:23,T+,19N,45E
9992,2149 July 20,18:38:11,P,21S,84E
9993,2150 January 13,08:31:35,P,22N,124W
9994,2150 June 10,07:14:48,Ne,22S,107W
9995,2150 July 9,22:13:22,N,23S,29E
9996,2150 December 4,13:14:45,N,21N,160E
9997,2151 January 2,23:51:26,N,24N,4E
9998,2151 May 30,09:09:10,P,21S,136W
9999,2151 November 24,02:08:13,P,20N,34W
10000,2152 May 18,17:35:13,T-,20S,97E
10001,2152 November 12,08:21:47,T+,18N,128W
10002,2153 May 8,08:14:39,P,18S,123W
10003,2153 November 1,08:34:03,P,15N,132W
10004,2154 March 29,16:05:07,N,3S,122E
10005,2154 April 28,01:04:33,N,15S,16W
10006,2154 September 21,19:29:06,N,2S,68E
10007,2154 October 21,09:26:08,Nb,12N,145W
10008,2155 March 19,03:12:45,T,1N,45W
10009,2155 September 11,07:03:11,T,5S,105W
10010,2156 March 7,06:54:14,T,5N,100W
10011,2156 August 30,23:20:37,T+,8S,11E
10012,2157 February 24,06:16:36,P,9N,90W
10013,2157 August 20,15:46:36,P,11S,125E
10014,2158 January 14,18:29:52,N,22N,87E
10015,2158 July 11,15:55:51,P,23S,124E
10016,2159 January 4,07:19:20,P,23N,107W
10017,2159 June 30,18:00:09,T-,23S,92E
10018,2159 December 24,23:00:09,T-,23N,16E
10019,2160 June 18,19:10:10,P,23S,74E
10020,2160 December 13,12:50:19,P,22N,167E
10021,2161 May 9,16:38:03,N,19S,111E
10022,2161 June 8,02:08:54,N,22S,31W
10023,2161 November 3,03:45:49,N,16N,59W
10024,2162 April 29,08:17:08,P,15S,124W
10025,2162 October 23,03:23:58,P,12N,54W
10026,2163 April 19,00:49:33,T+,11S,11W
10027,2163 October 12,05:51:53,T-,7N,90W
10028,2164 April 7,13:34:34,P,6S,159E
10029,2164 September 30,15:40:32,P,2N,124E
10030,2165 February 26,01:44:02,N,8N,22W
10031,2165 August 21,23:34:21,N,11S,8E
10032,2165 September 20,07:05:16,N,2S,106W
10033,2166 February 15,01:11:40,P,12N,13W
10034,2166 August 11,15:17:07,T,15S,134E
10035,2167 February 4,05:41:32,T+,16N,80W
10036,2167 August 1,01:28:59,T,18S,19W
10037,2168 January 24,17:17:30,P,20N,105E
10038,2168 July 20,04:38:50,N,22S,66W
10039,2168 December 14,21:59:24,N,22N,31E
10040,2169 January 13,08:43:52,N,23N,127W
10041,2169 June 9,15:57:06,P,22S,122E
10042,2169 December 4,10:31:58,P,22N,159W
10043,2170 May 30,00:55:17,T+,22S,13W
10044,2170 November 23,16:16:21,T+,21N,114E
10045,2171 May 19,15:56:55,P,21S,121E
10046,2171 November 12,16:10:02,P,18N,115E
10047,2172 April 9,00:08:52,N,7S,0E
